StudyYear	Code	Births	BirthSchool	Rate	trt	year	interaction	Pop
2014.0	261440	114	76.0	19.214563	1.0	0.0	0.0	5933
2016.0	261440	77	61.0	12.941176	1.0	1.0	1.0	5964
2014.0	261450	884	603.0	14.136762	1.0	0.0	0.0	62532
2016.0	261450	847	626.0	13.408688	1.0	1.0	1.0	63780
2014.0	261460	420	313.0	15.119879	1.0	0.0	0.0	27778
2016.0	261460	390	309.0	13.951491	1.0	1.0	1.0	28132
2014.0	261470	154	87.0	11.923196	1.0	0.0	0.0	12916
2016.0	261470	145	86.0	11.24903	1.0	1.0	1.0	12872
2014.0	261480	336	219.0	13.86253	1.0	0.0	0.0	24238
2016.0	261480	292	178.0	11.857868	1.0	1.0	1.0	25003
2014.0	261485	390	232.0	17.47077	1.0	0.0	0.0	22323
2016.0	261485	396	225.0	17.52988	1.0	1.0	1.0	22850
2014.0	261500	346	183.0	12.726203	1.0	0.0	0.0	27188
2016.0	261500	292	172.0	10.58201	1.0	1.0	1.0	27981
2014.0	261510	110	50.0	15.649452	1.0	0.0	0.0	7029
2016.0	261510	106	51.0	15.016292	1.0	1.0	1.0	7089
2014.0	261520	144	107.0	14.326933	1.0	0.0	0.0	10051
2016.0	261520	124	96.0	12.177158	1.0	1.0	1.0	10313
2014.0	261530	810	510.0	15.0431795	1.0	0.0	0.0	53845
2016.0	261530	709	442.0	13.231562	1.0	1.0	1.0	53328
2014.0	261540	584	261.0	14.23106	1.0	0.0	0.0	41037
2016.0	261540	500	279.0	11.869154	1.0	1.0	1.0	43174
2014.0	261550	209	123.0	15.431188	1.0	0.0	0.0	13544
2016.0	261550	187	128.0	13.751011	1.0	1.0	1.0	13643
2014.0	261560	598	353.0	20.492786	1.0	0.0	0.0	29181
2016.0	261560	527	318.0	17.851698	1.0	1.0	1.0	29842
2014.0	261570	190	144.0	12.447589	1.0	0.0	0.0	15264
2016.0	261570	172	131.0	11.280168	1.0	1.0	1.0	15235
2014.0	261580	308	124.0	11.768752	1.0	0.0	0.0	26171
2016.0	261580	293	128.0	11.076248	1.0	1.0	1.0	26727
2014.0	261590	119	85.0	14.617369	1.0	0.0	0.0	8141
2016.0	261590	104	77.0	12.760736	1.0	1.0	1.0	8159
2014.0	261600	265	161.0	15.002264	1.0	0.0	0.0	17664
2016.0	261600	200	145.0	11.191316	1.0	1.0	1.0	18067
2014.0	261610	147	102.0	15.585241	1.0	0.0	0.0	9432
2016.0	261610	134	96.0	14.173895	1.0	1.0	1.0	9471
2014.0	261618	107	55.0	13.712674	1.0	0.0	0.0	7803
2016.0	261618	115	78.0	14.83871	1.0	1.0	1.0	7693
2014.0	261620	389	187.0	19.727167	1.0	0.0	0.0	19719
2016.0	261620	311	159.0	15.567123	1.0	1.0	1.0	20222
2014.0	261630	401	241.0	12.52577	1.0	0.0	0.0	32014
2016.0	261630	360	218.0	11.193682	1.0	1.0	1.0	32296
2014.0	261640	2094	1475.0	15.525372	1.0	0.0	0.0	134876
2016.0	261640	1967	1403.0	14.483363	1.0	1.0	1.0	136706
2014.0	261650	298	134.0	20.476877	1.0	0.0	0.0	14553
2016.0	261650	221	100.0	15.151515	1.0	1.0	1.0	14618
2014.0	430003	73	52.0	15.64174	0.0	0.0	0.0	4667
2016.0	430003	49	39.0	10.41224	0.0	1.0	0.0	4731
2014.0	430005	48	36.0	12.503256	0.0	0.0	0.0	3839
2016.0	430005	43	39.0	11.195002	0.0	1.0	0.0	3841
2014.0	430010	162	101.0	9.453781	0.0	0.0	0.0	17136
2016.0	430010	165	111.0	9.637851	0.0	1.0	0.0	17102
2014.0	430020	61	50.0	8.23879	0.0	0.0	0.0	7404
2016.0	430020	78	76.0	10.557661	0.0	1.0	0.0	7372
2014.0	430030	59	50.0	8.510024	0.0	0.0	0.0	6933
2016.0	430030	57	45.0	8.306616	0.0	1.0	0.0	6799
2014.0	430040	925	769.0	11.743198	0.0	0.0	0.0	78769
